date,max_rainall_in_day,no_of_rainy_days,total_rainfall,temp_mean_daily_min,year,month,mean_sunshine_hrs,mean_relative_humidity,wet_bulb_temperature
2000-07-01,34.6,12,116.1,25.3,2000,7,6.5,82.6,25.746370967741935
2000-08-01,28.1,18,113.5,24.8,2000,8,5.1,83.8,25.354569892473116
2000-09-01,25.7,12,81.1,25.2,2000,9,6.2,82.2,25.6075
2000-10-01,38.3,14,120.9,24.9,2000,10,4.0,82.1,25.331989247311828
2000-11-01,72.0,21,385.7,24.7,2000,11,3.7,87.1,25.583194444444448
2000-12-01,45.8,18,236.0,24.4,2000,12,4.2,87.6,25.335887096774197
2001-01-01,125.4,21,425.8,24.0,2001,1,4.4,87.4,24.856854838709676
2001-02-01,28.2,11,86.6,24.5,2001,2,4.8,83.6,24.788095238095234
2001-03-01,41.1,20,297.3,24.2,2001,3,5.4,84.5,25.350806451612904
2001-04-01,68.9,18,203.3,25.1,2001,4,5.3,86.0,25.86472222222222
2001-05-01,56.1,12,164.9,25.7,2001,5,6.0,85.0,26.47056451612903
2001-06-01,49.6,11,137.1,25.4,2001,6,4.9,82.5,25.77097222222222
2001-07-01,44.8,9,111.3,25.5,2001,7,8.1,80.8,25.7880376344086
2001-08-01,36.6,14,158.3,25.2,2001,8,4.9,83.7,25.804973118279573
2001-09-01,74.3,13,162.0,25.2,2001,9,6.2,82.3,25.575833333333332
2001-10-01,77.2,20,252.2,24.7,2001,10,4.4,83.7,25.423387096774192
2001-11-01,102.6,15,175.3,24.7,2001,11,3.7,84.9,25.157083333333333
2001-12-01,211.1,20,609.0,24.1,2001,12,4.5,86.8,24.94233870967742
2002-01-01,83.8,11,221.2,24.5,2002,1,6.9,83.6,24.83279569892473
2002-02-01,41.7,2,50.8,24.5,2002,2,7.4,80.9,24.705357142857142
2002-03-01,26.4,8,55.6,25.1,2002,3,7.6,80.8,25.528494623655916
2002-04-01,39.4,13,116.5,25.6,2002,4,6.6,82.3,26.13722222222222
2002-05-01,75.9,13,236.6,26.1,2002,5,6.2,82.3,26.417473118279567
2002-06-01,45.8,12,83.1,26.0,2002,6,6.3,82.1,26.222638888888888
2002-07-01,69.5,11,233.7,25.5,2002,7,6.8,82.7,26.05510752688172
2002-08-01,17.8,14,54.2,25.6,2002,8,6.7,79.2,25.624193548387098
2002-09-01,38.9,9,124.2,25.1,2002,9,5.5,81.7,25.545555555555556
2002-10-01,3.2,7,10.8,25.7,2002,10,6.2,79.8,25.838306451612905
2002-11-01,84.0,15,307.2,24.5,2002,11,4.6,85.8,25.49833333333333
2002-12-01,38.6,24,255.0,24.7,2002,12,4.8,88.7,25.680779569892472
2003-01-01,194.4,20,444.2,24.4,2003,1,4.7,86.9,24.92970430107527
2003-02-01,82.2,13,172.9,24.4,2003,2,5.8,85.0,25.087648809523813
2003-03-01,38.3,11,154.6,25.2,2003,3,6.9,83.8,25.84704301075269
2003-04-01,42.9,20,159.9,25.3,2003,4,5.1,86.7,26.094305555555557
2003-05-01,33.0,11,81.8,26.5,2003,5,5.8,81.7,26.612903225806452
2003-06-01,23.2,12,50.3,26.0,2003,6,7.0,78.5,25.94916666666667
2003-07-01,30.9,14,170.4,25.1,2003,7,5.6,81.7,25.634543010752687
2003-08-01,64.4,13,193.6,25.5,2003,8,6.1,83.1,25.924865591397847
2003-09-01,60.0,15,205.3,24.8,2003,9,5.0,84.8,25.566666666666666
2003-10-01,56.6,21,351.4,24.5,2003,10,5.1,84.9,25.548521505376343
2003-11-01,41.3,19,133.8,24.7,2003,11,4.2,87.3,25.443055555555556
2003-12-01,92.1,17,273.0,24.3,2003,12,3.9,87.2,24.87150537634409
2004-01-01,177.8,13,600.9,24.2,2004,1,6.7,86.7,25.08225806451613
2004-02-01,19.2,4,31.9,24.7,2004,2,7.7,80.5,24.958189655172415
2004-03-01,122.8,16,269.4,24.7,2004,3,4.8,85.8,25.739919354838708
2004-04-01,18.1,9,57.1,26.1,2004,4,7.0,82.3,26.369027777777777
2004-05-01,73.4,13,137.6,26.4,2004,5,6.0,82.1,26.447580645161292
2004-06-01,68.1,8,127.2,26.1,2004,6,6.3,79.8,26.183611111111112
2004-07-01,34.3,20,166.6,24.5,2004,7,4.2,85.3,25.38817204301075
2004-08-01,111.5,8,185.2,25.4,2004,8,7.3,80.3,25.537365591397847
2004-09-01,29.1,14,128.9,25.0,2004,9,5.9,83.6,25.570277777777775
2004-10-01,25.3,13,125.6,25.0,2004,10,5.0,83.9,25.57338709677419
2004-11-01,62.4,15,166.2,24.6,2004,11,5.8,86.1,25.41375
2004-12-01,36.4,14,139.8,24.5,2004,12,4.9,85.2,24.87244623655914
2005-01-01,96.7,8,163.2,23.9,2005,1,6.5,83.3,24.395967741935483
2005-02-01,7.2,3,8.4,25.3,2005,2,9.1,77.7,25.330357142857142
2005-03-01,20.5,12,82.4,25.4,2005,3,7.2,80.3,25.70577956989247
2005-04-01,49.6,10,81.7,25.7,2005,4,7.0,81.0,26.036805555555556
2005-05-01,58.7,20,331.1,25.2,2005,5,5.5,84.6,26.366532258064517
2005-06-01,27.6,15,82.3,26.1,2005,6,5.4,82.7,26.405694444444443
2005-07-01,26.3,15,104.0,25.2,2005,7,5.4,84.0,25.849865591397847
2005-08-01,13.8,13,58.5,25.5,2005,8,6.5,82.9,25.900134408602153
2005-09-01,43.4,18,175.7,25.2,2005,9,6.2,84.2,25.996111111111112
2005-10-01,76.2,19,314.5,24.7,2005,10,5.1,85.2,25.58185483870968
2005-11-01,133.8,23,362.9,24.4,2005,11,4.4,86.4,25.43236111111111
2005-12-01,47.3,19,166.0,24.6,2005,12,4.5,85.6,25.326478494623657
2006-01-01,131.7,20,454.4,24.1,2006,1,4.8,87.8,24.865591397849464
2006-02-01,44.5,8,115.5,24.8,2006,2,7.4,84.0,25.37842261904762
2006-03-01,35.7,9,83.1,25.2,2006,3,7.1,81.3,25.692204301075268
2006-04-01,43.3,18,239.8,24.8,2006,4,5.3,87.0,25.854444444444447
2006-05-01,36.6,14,205.7,25.4,2006,5,5.0,85.2,26.103629032258063
2006-06-01,37.3,16,236.8,25.1,2006,6,5.5,86.3,25.99152777777778
2006-07-01,54.8,15,153.8,25.7,2006,7,6.9,83.8,26.21155913978495
2006-08-01,30.4,14,127.3,25.5,2006,8,6.7,81.9,25.854569892473116
2006-09-01,32.2,12,83.3,25.4,2006,9,5.3,81.0,25.40486111111111
2006-10-01,37.8,8,102.0,25.4,2006,10,4.8,80.9,25.69327956989247
2006-11-01,64.0,18,185.6,24.5,2006,11,5.6,87.4,25.550416666666667
2006-12-01,198.0,22,765.9,24.3,2006,12,3.2,88.5,25.12217741935484
2007-01-01,143.8,20,450.1,24.2,2007,1,4.1,86.8,24.72083333333333
2007-02-01,51.4,3,105.5,24.5,2007,2,7.6,82.5,24.870535714285715
2007-03-01,68.8,21,269.1,24.6,2007,3,5.8,84.9,25.42043010752688
2007-04-01,102.4,14,240.2,25.2,2007,4,5.9,84.7,26.00986111111111
2007-05-01,21.9,16,127.2,25.3,2007,5,5.5,84.8,26.221236559139783
2007-06-01,38.0,12,139.0,25.4,2007,6,6.0,82.8,26.059583333333336
2007-07-01,23.0,19,141.7,25.1,2007,7,3.8,84.8,25.697580645161292
2007-08-01,55.9,20,190.7,25.0,2007,8,5.7,82.9,25.4252688172043
2007-09-01,52.1,13,149.0,25.0,2007,9,5.8,83.3,25.593194444444443
2007-10-01,51.8,16,237.2,24.9,2007,10,5.6,83.2,25.488575268817204
2007-11-01,60.1,21,367.9,24.0,2007,11,3.5,86.5,25.105833333333333
2007-12-01,159.0,20,468.6,24.1,2007,12,4.5,86.8,24.704301075268816
2008-01-01,123.1,19,262.6,24.3,2008,1,6.1,86.0,24.903360215053763
2008-02-01,48.5,8,129.2,24.0,2008,2,5.5,82.9,24.427298850574715
2008-03-01,48.1,16,294.1,24.0,2008,3,4.3,87.1,24.830510752688173
2008-04-01,34.2,13,87.2,25.1,2008,4,6.0,82.0,25.641805555555553
2008-05-01,42.3,11,124.9,26.0,2008,5,6.6,79.1,25.849596774193547
2008-06-01,45.2,12,118.3,25.3,2008,6,5.6,81.5,25.66333333333333
2008-07-01,23.5,15,89.1,25.1,2008,7,4.9,81.3,25.311155913978496
2008-08-01,133.9,18,327.3,24.7,2008,8,5.5,83.8,25.284408602150535
2008-09-01,43.5,18,164.4,24.6,2008,9,5.1,82.7,25.344722222222224
2008-10-01,41.6,19,159.5,25.0,2008,10,4.5,84.9,25.546505376344083
2008-11-01,63.3,16,324.3,24.5,2008,11,4.0,85.9,25.379583333333333
2008-12-01,52.0,17,244.2,24.3,2008,12,4.8,83.7,24.690591397849463
2009-01-01,36.0,5,38.3,24.2,2009,1,6.6,79.1,23.982795698924733
2009-02-01,74.2,8,201.8,24.2,2009,2,6.4,80.7,24.64627976190476
